SEXO MASA LONG_ABDO LONG_PALMA CAT_IMC
Hom 77.4 103 10.6 Alto
Hom 85.5 92.8 10.7 Medio
Hom 91.6 104 10.8 Alto
Hom 77 87.4 10.5 Medio
Hom 65.8 82.3 10.6 Medio
Hom 71.1 89.8 10.3 Medio
Hom 69.1 89.3 10.2 Medio
Hom 74.9 92 10.3 Alto
Hom 73.6 88.9 10.2 Medio
Hom 56.2 75.4 10.6 Bajo
Hom 79.1 91.3 10.6 Medio
Hom 87.4 91.2 11.4 Medio
Hom 63.1 81.1 10.5 Medio
Hom 70.6 85.1 10.4 Medio
Hom 78.8 82.4 11.4 Medio
Hom 61.9 80.7 10.2 Medio
Hom 52 67.9 10.6 Bajo
Hom 72 88.9 9.9 Medio
Hom 74.8 88.5 10.4 Medio
Hom 60.1 78.6 10.1 Bajo
Hom 84.8 102.3 11.2 Alto
Hom 66.2 86.9 10.2 Medio
Hom 88.9 104.4 10.3 Alto
Hom 67.5 88.2 10.8 Medio
Hom 85.5 98.6 11.2 Alto
Hom 95.3 113.6 10.5 Alto
Hom 75.4 92.6 9.9 Medio
Hom 77.5 97 9.1 Alto
Hom 66.8 89.3 11.1 Medio
Hom 83.5 96.7 10.3 Alto
Hom 80.6 86.3 11.3 Medio
Hom 74.9 92.9 9.7 Alto
Hom 84.2 95.9 10.2 Alto
Hom 70.4 84 10.8 Medio
Hom 82.3 88.2 10.9 Medio
Hom 87.3 105 10.9 Alto
Hom 94.9 102.3 11.2 Alto
Hom 87.8 96.9 10.5 Alto
Hom 71 88.5 9.6 Medio
Hom 83.1 92.3 10.7 Medio
Hom 84.6 101.9 10.7 Alto
Hom 64.3 80.6 10 Medio
Hom 79.7 91.2 10.8 Medio
Hom 64.8 74.4 9.6 Medio
Hom 65.3 82.9 9.9 Medio
Hom 69.1 78 10.7 Medio
Hom 69.2 87.4 10.6 Medio
Hom 58 74.4 10.2 Medio
Hom 57 76 9.4 Bajo
Hom 87.4 98 10.7 Alto
Hom 83.4 89.8 11 Medio
Hom 71.4 83.4 10.5 Medio
Hom 81 95.6 10.4 Medio
Hom 89.2 97.3 11.4 Alto
Hom 84.1 95 10.6 Alto
Hom 75.8 88.2 10.7 Medio
Hom 87.9 91.8 10.8 Alto
Hom 117.3 111.5 10.5 Alto
Hom 74.2 84 10.2 Medio
Hom 74.6 95.7 9.9 Medio
Hom 80.3 92.3 9.9 Medio
Hom 61.6 76.5 10.6 Bajo
Hom 66.8 83.4 9.8 Medio
Hom 72.7 93.1 10.8 Medio
Hom 83.5 100.8 10.1 Alto
Hom 59.4 79.8 9.9 Medio
Hom 79.8 91.1 10.9 Medio
Hom 65.5 90 9.5 Medio
Hom 91.8 99.2 10.7 Alto
Hom 76.1 88.3 10.7 Medio
Hom 74.4 93 10.2 Medio
Hom 81.5 98.3 10.3 Alto
