RAZON;DEPARTAMENTO DOMICILIO;INGRESOS;GANANCIA;ACTIVOS;PASIVOS;CATE;SECTOR
Empresa 1;VALLE;160955.3;3360.4;81904.6;81904.6;0;MANUFACTURA
Empresa 2;BOGOTA D.C.;160893.5;1701.6;35794.9;35794.9;0;SERVICIOS
Empresa 3;BOGOTA D.C.;160483.8;7163.6;74671.7;74671.7;0;COMERCIO
Empresa 4;BOGOTA D.C.;160312.4;726.9;94278.9;94278.9;0;COMERCIO
Empresa 5;BOLIVAR;160273.6;1264.4;152267.6;152267.6;0;SERVICIOS
Empresa 6;BOGOTA D.C.;160184.0;36337.3;15550.6;15550.6;0;SERVICIOS
Empresa 7;ANTIOQUIA;160086.9;2611.3;93943.3;93943.3;1;MANUFACTURA
Empresa 8;ANTIOQUIA;160080.2;487.5;24880.2;24880.2;1;SERVICIOS
Empresa 9;BOLIVAR;160010.4;20443.4;409420.2;409420.2;1;SERVICIOS
Empresa 10;VALLE;159759.9;-4828.3;104932.5;104932.5;1;MANUFACTURA
Empresa 11;BOGOTA D.C.;159409.8;2233.5;91704.5;91704.5;1;SERVICIOS
Empresa 12;CESAR;159306.9;3758.0;177561.1;177561.1;1;SERVICIOS
Empresa 13;CALDAS;159173.6;1293.4;48176.5;48176.5;1;MANUFACTURA
Empresa 14;RISARALDA;159137.6;3829.8;19716.8;19716.8;1;COMERCIO
Empresa 15;VALLE;158953.0;-7104.5;204863.1;204863.1;1;MANUFACTURA
Empresa 16;ANTIOQUIA;158909.2;2449.0;16419.1;16419.1;1;COMERCIO
Empresa 17;META;158752.1;1546.3;20794.4;20794.4;1;COMERCIO
Empresa 18;BOGOTA D.C.;158682.2;159.0;69105.1;69105.1;1;COMERCIO
Empresa 19;BOGOTA D.C.;158388.4;1289.7;33802.6;33802.6;1;COMERCIO
Empresa 20;VALLE;158354.0;10574.5;151305.4;151305.4;1;SERVICIOS
Empresa 21;BOGOTA D.C.;158264.1;15331.6;29144.3;29144.3;1;MANUFACTURA
